	AIMP1	BMP2	CCL1	CCL11	CCL13	CCL17	CCL2	CCL20	CCL23	CCL5	CCR1	CCR3	CCR4	CCR6	CCR8	CD40LG	CD70	CSF1	CSF2	CX3CL1	CX3CR1	CXCL11	CXCL12	CXCL13	CXCL6	CXCL9	CXCR1	CXCR4	FASLG	IFNA2	IFNG	IL10RA	IL10RB	IL11RA	IL12B	IL12RB1	IL12RB2	IL13	IL15	IL15RA	IL16	IL17A	IL17F	IL1A	IL1B	IL1R1	IL1R2	IL1RN	IL2	IL20	IL21	IL2RA	IL2RB	IL2RG	IL3	IL4	IL5	IL5RA	IL6	IL6R	IL7	IL8	IL8RB	IL9R	LOC708339	LOC710618	LOC712292	LOC714751	LOC716099	LTA	MIF	NAMPT	OSM	PF4	SPP1	TNF	TNFRSF11B	TNFSF10	TNFSF11	TNFSF13B	TNFSF14	TNFSF4	VEGFA	XCL1
Shep J90	0.18467	0.02360	0.00029	0.00917	0.02979	0.00307	0.07422	NA	0.00374	0.00939	0.00995	0.00126	0.00188	0.00037	0.00031	0.00136	0.00364	0.04652	NA	0.00227	0.00791	0.03686	0.27797	0.00242	NA	0.24300	0.00023	0.03760	0.00297	0.00023	0.00184	0.03287	0.09037	0.03331	0.00199	0.00426	0.00741	0.00023	0.02460	0.05198	0.02300	NA	NA	0.00031	0.00363	0.07397	0.02345	0.01174	0.00141	0.00023	0.00070	0.00717	0.00190	0.01081	0.00023	0.00053	0.00023	0.00023	0.00298	0.09349	0.00442	0.01863	0.00883	NA	0.00073	NA	NA	0.00163	0.00589	0.00038	0.26906	0.18099	0.00141	0.00375	0.63949	0.00430	0.00180	0.11558	0.00236	0.03740	0.00508	0.01064	0.06764	0.00590
Shep JF	0.29579	0.01165	0.00014	0.00136	0.01205	0.00083	0.00580	NA	0.00302	0.00175	0.00034	0.00030	0.00088	0.00044	0.00024	0.00138	0.00716	0.02108	NA	0.00153	0.02655	0.00681	0.39961	0.00330	NA	0.01380	NA	0.01112	0.00061	0.00014	0.00034	0.00627	0.03060	0.02431	0.00045	0.00324	0.00729	NA	0.00890	0.01986	0.01263	NA	0.00019	NA	0.00132	0.01271	0.00230	0.00030	0.00232	0.00014	0.00017	0.01000	0.00036	0.00137	0.00031	0.00084	0.00021	NA	0.00311	0.10538	0.00152	0.00061	0.00304	NA	NA	0.00019	0.00014	0.00027	0.00032	NA	0.08966	0.31201	0.00015	0.00057	0.00289	0.00062	0.00060	0.07514	0.00018	0.00598	0.00049	0.00561	0.14739	0.00075
C-Shep J7	0.30131	0.01321	NA	0.00037	0.00695	0.00044	0.00165	NA	0.00207	0.00161	0.00029	0.00029	0.00062	NA	0.00033	0.00029	0.01419	0.01597	NA	0.00200	0.04139	0.00169	0.24474	0.00029	NA	0.00156	0.00029	0.00249	0.00029	0.00066	NA	0.00310	0.03152	0.03995	NA	0.00652	0.00761	0.00078	0.00702	0.02157	0.01480	NA	NA	NA	0.00042	0.00774	0.00254	NA	0.00281	0.00033	0.00094	0.01541	0.00035	0.00038	0.00066	0.00108	0.00030	0.00034	0.00152	0.17282	0.00029	NA	0.00169	NA	NA	NA	NA	0.00048	0.00058	0.00029	0.10427	0.34564	0.00029	0.00223	0.00304	0.00046	0.00070	0.07378	0.00029	0.00177	0.00073	0.00635	0.13777	0.00052
C-Shep J30	0.50441	0.00572	0.00025	0.00044	0.00446	0.00038	0.00621	NA	0.00246	0.00088	0.00030	NA	0.00026	NA	0.00104	0.00083	0.00117	0.01580	NA	0.00415	0.06473	0.00290	0.22604	0.00025	NA	0.00838	0.00025	0.00423	0.00026	0.00097	0.00025	0.00216	0.03467	0.04455	0.00025	0.00589	0.00929	NA	0.00656	0.02468	0.01256	NA	NA	NA	0.00062	0.00944	0.00113	0.00025	0.00291	NA	0.00025	0.02188	0.00025	0.00165	NA	0.00078	NA	NA	0.00468	0.16977	0.00055	0.00067	0.00188	NA	NA	NA	NA	0.00025	0.00025	NA	0.14050	0.34262	NA	0.00873	0.00330	0.00060	0.00035	0.17167	0.00025	0.00396	0.00043	0.00817	0.18565	0.00061
C-Shep J90	0.30292	0.00782	0.00027	0.00150	0.01119	0.00027	0.01239	NA	0.00195	0.00307	0.00082	0.00082	0.00157	0.00036	0.00049	0.00079	0.03067	0.02349	NA	0.00240	0.00973	0.01167	0.23374	0.00031	NA	0.02092	0.00029	0.01528	0.00189	0.00368	0.00027	0.00507	0.03714	0.03171	0.00027	0.00902	0.01018	0.00096	0.01097	0.03509	0.01133	NA	NA	0.00027	0.00032	0.02285	0.00271	0.00027	0.01402	0.00089	0.00241	0.01171	0.00078	0.00094	0.00187	0.00101	0.00066	0.00088	0.00161	0.17962	0.00091	0.00029	0.00307	NA	0.00027	NA	NA	0.00346	0.00074	0.00109	0.16713	0.33821	0.00027	0.00331	0.00325	0.00108	0.00088	0.12167	0.00028	0.00529	0.00155	0.00541	0.20661	0.00062
C-Shep JF	0.60640	0.01460	0.00067	0.00038	0.00756	0.00039	0.00244	NA	0.00326	0.00047	0.00017	0.00010	0.00010	0.00010	0.00051	0.00108	0.00231	0.00770	NA	0.00116	0.02740	0.00366	0.39566	0.00010	NA	0.00289	NA	0.00461	0.00030	0.00032	0.00010	0.00162	0.02469	0.03150	0.00010	0.00137	0.00878	NA	0.01277	0.02163	0.00815	NA	0.00010	NA	0.00381	0.00802	0.00179	0.00010	0.00381	0.00027	0.00020	0.01305	0.00010	0.00092	0.00013	0.00068	0.00012	NA	0.00256	0.10839	0.00040	0.00076	0.00167	NA	NA	0.00010	0.00010	0.00010	0.00027	NA	0.10340	0.46340	0.00010	0.00133	0.00498	0.00032	0.00049	0.10907	0.00010	0.00211	0.00036	0.00909	0.28289	0.00023
Monk J7	0.27592	0.01420	NA	0.00049	0.00344	0.00049	0.00296	NA	0.00035	0.00224	NA	NA	0.00035	NA	0.00035	0.00046	0.01199	0.01425	NA	0.00084	0.02268	0.00339	0.37070	NA	NA	0.00229	NA	0.00407	0.00047	0.00041	NA	0.00182	0.02501	0.03038	NA	0.00678	0.00674	0.00079	0.00957	0.02058	0.00911	NA	NA	NA	0.00203	0.00280	0.00056	NA	0.00158	NA	NA	0.00527	NA	0.00036	0.00126	0.00056	NA	NA	0.00342	0.15055	0.00070	NA	0.00254	NA	NA	NA	NA	0.02095	NA	NA	0.10290	0.34444	NA	0.00219	0.00637	0.00044	0.00630	0.06418	NA	0.00066	0.00095	0.00663	0.14756	NA
Monk J30	0.35339	0.00827	0.00527	0.01163	0.01719	0.00200	0.10177	NA	0.00083	0.00487	0.00360	NA	0.00079	0.00043	0.00071	0.00135	0.00178	0.06733	NA	0.00367	0.01833	0.13691	0.22552	NA	NA	0.39758	NA	0.00650	0.00247	NA	0.00431	0.03502	0.07322	0.02509	NA	0.00429	0.00824	NA	0.03973	0.11229	0.01530	NA	0.00046	NA	0.00233	0.00315	0.00065	0.00794	0.00102	NA	0.00059	0.01316	0.00196	0.00735	NA	0.00049	NA	NA	0.00133	0.14756	0.00207	0.00062	0.02678	NA	NA	NA	NA	0.00344	0.00038	NA	0.13400	0.55530	0.00046	0.00093	0.06549	0.00534	0.00038	0.23706	0.00138	0.06405	0.00038	0.00412	0.14900	0.01515
Monk J90	0.19538	0.00876	NA	0.00343	0.06312	0.00317	0.03935	NA	0.00024	0.00971	0.00302	NA	0.00185	0.00077	0.00024	0.00304	0.00246	0.02544	NA	0.00215	0.01641	0.06737	0.45481	0.00236	NA	0.24764	0.00024	0.02765	0.00534	NA	0.00462	0.03100	0.06165	0.02598	0.00173	0.00465	0.00664	NA	0.02935	0.03832	0.02587	NA	0.00030	NA	0.00087	0.01262	0.00076	0.00127	0.00178	NA	0.00104	0.00558	0.00301	0.00868	0.00027	0.00073	NA	NA	0.00255	0.06230	0.00500	0.00045	0.02266	NA	0.00084	NA	NA	0.00100	0.00103	0.00049	0.13825	0.19893	NA	0.00063	0.00485	0.00578	0.00144	0.15372	0.00124	0.04197	0.00159	0.00719	0.08451	0.00431
Monk JF	1.31951	0.04730	0.00019	0.00531	0.01960	0.00383	0.04231	NA	0.00069	0.00124	0.00041	0.00046	0.00045	0.00025	0.00022	0.00265	0.00242	0.00493	NA	0.00014	0.02201	0.05115	0.35257	0.00588	0.00012	0.05668	0.00015	0.03560	0.00061	NA	0.00036	0.00266	0.04118	0.02372	0.00050	0.00078	0.00518	NA	0.03753	0.02178	0.02036	NA	0.00013	NA	0.00216	0.00455	0.00222	0.00020	0.00094	NA	0.00012	0.00340	NA	0.00353	0.00012	0.00103	0.00027	NA	0.00230	0.13204	0.00411	0.00223	0.01186	NA	NA	NA	NA	0.00013	0.00173	NA	0.06703	0.75628	0.00014	0.00190	0.03129	0.00153	0.01164	0.34700	0.00047	0.03580	0.00029	0.01020	0.21213	0.00517
C-Monk J7	0.24736	0.01282	NA	0.00035	0.00375	0.00035	0.00514	NA	0.00046	0.00070	NA	NA	0.00043	NA	0.00061	0.00074	0.00286	0.01304	NA	0.00062	0.01990	0.00292	0.36976	NA	NA	0.00035	NA	0.00317	0.00035	0.00038	NA	0.00259	0.02066	0.02712	NA	0.01316	0.00630	0.00035	0.00791	0.01808	0.00907	NA	NA	NA	0.00127	0.00383	0.00080	NA	0.00156	NA	NA	0.00718	NA	0.00046	0.00035	0.00062	NA	NA	0.00252	0.15132	0.00058	NA	0.00201	NA	NA	NA	NA	0.00035	NA	NA	0.08465	0.34120	NA	0.00598	0.00552	0.00035	0.00429	0.05895	NA	0.00195	0.00062	0.00515	0.13422	NA
C-Monk J30	0.38788	0.00791	0.00035	0.00476	0.00513	0.00035	0.02254	NA	0.00035	0.00160	0.00035	NA	0.00035	0.00035	0.00047	0.00109	0.00090	0.03791	NA	0.00248	0.03426	0.00747	0.32616	NA	NA	0.01923	NA	0.00745	0.00039	NA	0.00035	0.00332	0.04077	0.02695	NA	0.02595	0.01248	NA	0.00935	0.06036	0.01209	NA	0.00035	NA	0.00074	0.00581	0.00079	0.00039	0.00071	NA	0.00041	0.00404	0.00035	0.00147	NA	0.00056	NA	NA	0.00246	0.21429	0.00069	0.00104	0.00674	NA	NA	NA	NA	0.00035	0.00063	NA	0.14217	0.47194	0.00035	0.00567	0.16263	0.00109	0.00155	0.10465	0.00035	0.00571	0.00042	0.00407	0.22809	0.00110
